Name,DisplayName,Mass_kg,Category,Effect,UnlockTech,SliceActive,Notes
SoilPallet,Earth Soil Pallet,1000,Agriculture,+1000 kg Soil (fills 4 garden cells),,TRUE,"M2 Gate C: the signature gamble pays off"
SeedVault,Seed Vault,200,Agriculture,+200 kg Seeds (plants 4 garden cells),,TRUE,"M2 Gate C: the cheap future bet matures"
PartsCrate,Spare Parts Crate,500,Operations,+10 SpareParts,,TRUE,Fleet longevity
Toolkit,Specialty Toolkit,300,Operations,+15% fabricator build speed,,TRUE,Immediate quality-of-life
AdvExcavator,Advanced Excavator RC-E2,2500,Fleet,+1 RC-E2 unit,,TRUE,Biggest single production jump
ExtraHauler,Hauler RC-H,1800,Fleet,+1 RC-H unit,,TRUE,Logistics throughput
SolarPack,Solar Array Flat-Pack,400,Power,+1 deployable SolarArray,,TRUE,"Import-only rule: power growth is manifest-gated"
BatteryPack,Battery Bank Pack,600,Power,+1 deployable BatteryBank,,TRUE,Night resilience
ComputeCore,Compute Core,800,Autonomy,Order lag 20 s -> 8 s,,TRUE,Latency-to-autonomy on the manifest
LuxuryGoods,Luxury Goods,300,Comforts,+300 kg Luxury (comforts draw per colonist per sol),,TRUE,"M2 Gate D: the morale bet lands - ~90 sols of comforts for a pod of 4"
CrewPod,Crew Pod (4 colonists),2400,Crew,"+4 colonists into certified housing; +200 kg Food; returns aboard if no beds",,TRUE,"M2 Gate A: the heaviest single item - crew vs hardware is the Phase-2 manifest decision"
