Name,Value,Unit,Notes
SolLengthSimSeconds,1200,s,"One sol = 20 real minutes at 1x; sol-hour = 50 s"
SimTickSeconds,0.1,s,Fixed timestep; presentation interpolates
SpeedTiers,0;1;3;8;60,multiplier,"Pause/1x/3x/8x agent band; 60 = era-mode ledger integrator (M1-a)"
EraModeStepSimMinutes,1,min,Ledger integration step for era mode (M1+)
CellSizeMeters,2,m,Placement grid cell
OrderLagTier0_s,45,s,Landing-state uplink lag
OrderLagTier1_s,20,s,After Lander Compute Module
OrderLagTier2_s,8,s,After manifest Compute Core
OrderLagDiegeticLabel0,11 min,label,UI fiction label for tier 0
SunriseSolHour,6,h,Solar curve start
SunsetSolHour,18,h,Solar curve end
DustFactor,1.0,factor,Clear-sky in M0; storms drive this at M1
QuotaDeadlineSol,10,sol,Soft deadline for Q1
ShipTransitSols,3,sol,Manifest confirm to touchdown
ShipAwardOnTime_kg,10000,kg,Q1 on-time manifest budget
ShipAwardLate_kg,6000,kg,Q1 late manifest budget
PilesCapacity_kg,500,kg,Dig-site pile cap
HopperCapacity_kg,200,kg,Building input hopper cap
ChargeSeekFraction,0.25,fraction,Robots break off work to seek a charge pad below this battery fraction
ChargeResumeFraction,0.90,fraction,Robots resume work above this battery fraction
WearDegradeThreshold,50,wear,Work rate degrades linearly past this
WearHaltThreshold,100,wear,Robot halts (destruction is M1+)
RepairWearPerPart,25,wear,Maintenance bot repair per spare part
StarterStruct_kg,400,kg,Lander stock
StarterSolarPacks,6,count,Lander stock
StarterBatteryPacks,2,count,Lander stock
StarterSpareParts,6,count,Lander stock
AutosaveEverySols,1,sols,"Autosave to slot 'auto' every N sol boundaries; 0 disables"
StartSolHour,6,sol-hour,"Mission clock at landing; 6 = dawn - the colony wakes with the sun (first-play readability)"
FloorHeightMeters,4,m,"Z-model (M1-b): vertical spacing between shaft floors; presentation Z = Level x this"
MaxDepth,5,floors,"Z-model (M1-b): deepest shaft floor (Level -N); data-expandable per underground spec"
RadiationSurface,1.0,factor,"M1-c: baseline surface radiation index; flares multiply exposure transiently"
RadiationPerLevelMul,0.05,factor,"M1-c: per-floor attenuation - each level down multiplies radiation by this (overburden is free shielding)"
StormWearMul,2.0,factor,"Director ruling 2026-07-07b: robots working through a dust storm wear at this multiple; shelter (warehouse) arrives M2"
ShaftSpoilKgPerFloor,1200,kg,"M1-d Gate A: regolith spoil emitted per floor the shaft trunk is bored down (the bore column itself)"
SpoilKgPerCell,1200,kg,"M1-d Gate A: regolith spoil per 10x10 cell carved on a floor (underground proposal §2; ~= the Struct to build the floor out)"
O2FillKgPerCell,100,kg,"M1-d Gate B: oxygen mass to pressurize one carved 10x10 cell (~2 sols of one Electrolyzer); scales the habitability cost with ambition"
O2LeakKgPerCellPerSol,2,kg,"M1-d Gate B: standing leakage per pressurized cell per sol - the tax of living in what you dug; a dry O2 pool drains the floor loudly"
O2FillRateKgPerHour,20,kg,"M1-d Gate B: trunk push rate per floor per sol-hour while a powered circulator runs"
MinLivableCells,4,cells,"Director ruling 2026-07-07f: minimum carved cells for a floor to certify Livable and fire the Phase-1 exit; a single sealed room is a pocket, not a vault"
ColonistsPerCell,1,beds,"M2 Gate A: certified beds per carved cell on a rated floor"
ColonistO2KgPerSol,0.75,kg,"M2 Gate A: breathing draw per colonist against the home floor's O2 fill (~0.84 kg/day hard-sci anchor, sol-scaled)"
ColonistFoodKgPerSol,0.62,kg,"M2 Gate A: pooled Food draw per colonist per sol"
CrewPodColonists,4,people,"M2 Gate A: colonists per CrewPod cargo item"
CrewPodFoodKg,200,kg,"M2 Gate A: provisions landed with each pod (~40 sols for 4 - the clock that makes the Gate-C garden urgent)"
ColonistEvacSols,2,sols,"M2 Gate A: sustained unsupported time before a colonist is evacuated to orbit (abstract, prevention-framed; wording reviewed Gate D)"
