Name,DisplayName,Function,EmitsTags,RefusesTags,NeedsFiltration,NeedsPlumbing,MoraleWeight,Tier,UpgradesTo,SeatCount,YieldMul,SliceActive,Notes
LivingQuarters,Living Quarters,Living,,Odor,TRUE,TRUE,1.0,1,,1,1.0,TRUE,"ACTIVE M2 Gate B: crew sleep/rest; refuses Odor adjacency (garden/septic beside it sickens - habitat vision §4)"
Garden,Gardening Station,Garden,Odor,,TRUE,TRUE,0.5,1,,1,1.0,TRUE,"ACTIVE M2 Gate C: crops on rated floors; emits Odor (fertilizer) - keep it off the quarters; grow-light power is a flagged later gate (§8)"
Lab,Laboratory,Lab,,,TRUE,FALSE,0.3,1,ChemTableLarge,1,1.0,TRUE,"ACTIVE M2 Gate B: research space; a job seat per cell; T1 of the Lab line (tiered-production spec 2026-07-10)"
Workstation,Workstation,Workstation,,,TRUE,FALSE,0.2,1,WorkbenchLarge,1,1.0,TRUE,"ACTIVE M2 Gate B: crew work posts beside robots; a job seat per cell; T1 of the Workstation line"
Dining,Dining Room,Dining,,Odor,TRUE,TRUE,0.6,1,,1,1.0,TRUE,"ACTIVE M2 Gate B: meals together - morale"
Cooking,Cooking Station,Cooking,Odor,,TRUE,TRUE,0.3,1,,1,1.0,TRUE,"ACTIVE M2 Gate B: emits kitchen Odor; pairs with Dining"
Smoking,Smoking Area,Smoking,Odor,,TRUE,FALSE,0.8,1,,1,1.0,FALSE,"Dormant M2 Gate D: luxury room - usable once tobacco is cultivated (§2); high morale, strong filtration need"
Hallway,Hallway,Hallway,,,FALSE,FALSE,0.0,1,,1,1.0,TRUE,"ACTIVE M2 Gate B: the partition room - directly between an Odor emitter and a refuser it CANCELS the adjacency penalty (with the floor's filtration running, §4)"
Septic,Septic / Fertilizer Works,Septic,Odor;Contagion,,TRUE,TRUE,0.0,1,,1,1.0,FALSE,"Dormant M2 Gate C: feces->fertilizer; strongest emitter - keep it partitioned"
WaterWorks,Water Filtration Works,WaterWorks,,,FALSE,TRUE,0.0,1,,1,1.0,FALSE,"Dormant M2 Gate C: urine->urea+water; drinking recycled water has a morale/sickness cost (§4)"
Greenhouse,Greenhouse,Greenhouse,Odor,,TRUE,TRUE,0.5,1,,1,1.0,TRUE,"ACTIVE M2 Gate D+ garden fork: glass-glazed crops - near-free power but yield rides the solar curve (dark at night, starves in dust storms) and needs a SHALLOW floor for light; the low-energy alternative to grow-lit Garden"
WorkbenchLarge,Large Workbench,Workstation,,,TRUE,FALSE,1.0,2,Workshop,2,1.35,TRUE,"ACTIVE tiers Gate A: T2 workstation - 2 seats, x1.35 fabrication weight per seat (tiered-production spec; balance placeholder pending director review)"
Workshop,Workshop,Workstation,,,TRUE,FALSE,1.5,3,,3,1.8,FALSE,"DORMANT tiers Gate A: T3 workstation - 3 seats, x1.8; UNLOCKED by the RegolithCeramics discovery (research gates the ladder, not a tech-tree UI)"
ChemTableLarge,Large Chem Table,Lab,,,TRUE,TRUE,1.0,2,LabFull,1,1.35,TRUE,"ACTIVE tiers Gate A: T2 lab - x1.35 discovery seat-hours (balance placeholder)"
LabFull,Full Laboratory,Lab,,,TRUE,TRUE,1.5,3,,2,2.0,FALSE,"DORMANT tiers Gate A: T3 lab - 2 seats, x2.0 seat-hours; UNLOCKED by the SubsurfaceBrine discovery (the prefab-building variant is a later presentation gate)"
Infirmary,Infirmary,Infirmary,,,TRUE,TRUE,0.5,1,,1,1.0,TRUE,"ACTIVE tiers Gate A: passive - an online infirmary on a rated floor stretches the evacuation countdown by InfirmaryEvacBonusSols (prevention framing: more time to fix the fault, never a penalty)"
